NomeFile,ValoreFit,ErrFit,n_obt,err_n,Ï‡_2_Rid,GdL
data/2-05_spettrofotometro/ELAB/Oro-Oro 1.csv,3.161258910977255e-08,6.488391475958987e-11,0.37673410515860634,0.0038703358526355996,520.3557855456107,3237
data/2-05_spettrofotometro/ELAB/Oror-oro 4_1.csv,5.4258478014601063e-08,7.73802815164211e-11,0.5144405798920049,0.005637766801848648,633.6603941468788,3177
data/2-05_spettrofotometro/ELAB/Oror-oro 3_1.csv,4.593334580116985e-08,6.427653157596247e-11,0.43792350806353697,0.004152322189611412,476.84157855684185,3186
data/2-05_spettrofotometro/ELAB/Oror-oro 2_1.csv,3.666450655526548e-08,7.36005622333821e-11,0.39378318785958893,0.0044464507566072155,663.7175753840854,3162
data/2-05_spettrofotometro/ELAB/Oror-oro 6_1.csv,7.623347513799537e-08,4.591070122759597e-10,1.7118019923539536,0.08333362678200247,5060.263021255444,3168
data/2-05_spettrofotometro/ELAB/Oror-oro 5_1.csv,7.377304534987121e-08,3.9418212309285174e-10,1.3261507195784326,0.060601569942003386,5793.3944075383815,3114
data/5-05_spettrofotometro/vetrino3_spettrofotometro/ELAB/vetroAU-vetro_2_1.csv,2.2069306418254605e-08,1.2425985406359008e-10,0.6230638066319266,0.013585547772559778,1844.3424797222099,3150
data/5-05_spettrofotometro/vetrino3_spettrofotometro/ELAB/vetroAU-vetro_3_1.csv,5.182256898722872e-08,9.606707258189892e-11,0.19056592081770707,0.0025151296072394476,730.7479878879757,3210
data/5-05_spettrofotometro/vetrino3_spettrofotometro/ELAB/vetroAU-vetro_1_1.csv,1.0813745241879238e-08,1.0857149546976694e-10,0.62003485903026,0.01892267157977068,2129.0990392363756,3162
data/5-05_spettrofotometro/vetrino2_spettrofotometro/ELAB/vetroAU-vetro_3_2.csv,5.283682888670021e-08,2.359799980092667e-10,0.6057199327453434,0.019985365761944627,5026.5898443093565,3087
data/5-05_spettrofotometro/vetrino2_spettrofotometro/ELAB/vetroAU-vetro_2_2.csv,6.199470822402136e-08,6.10522433959983e-11,0.47107187435586084,0.004109093341909207,408.59603063561644,3165
data/5-05_spettrofotometro/vetrino2_spettrofotometro/ELAB/vetroAU-vetro_1_2.csv,5.142140395211404e-08,2.1008281916616914e-09,0.3392288454241193,0.09857005266884274,29448.256621531687,1578
data/5-05_spettrofotometro/vetrino2_spettrofotometro/ELAB/vetroAU-vetro_4_2.csv,3.8840733962228145e-08,7.821522335082868e-11,0.41149217889171386,0.004849970216695532,717.4234731583695,3252
data/5-05_spettrofotometro/vetrino2_spettrofotometro/ELAB/vetroAU-vetro_5_2.csv,2.6967859358776242e-08,8.287289775259651e-11,0.38612725893832434,0.005251970460581,867.8565076039949,3264
data/5-05_spettrofotometro/vetrino1_spettrofotometro/ELAB/vetroAU-vetro_5_1.csv,2.6967859358776242e-08,8.287289775259651e-11,0.38612725893832434,0.005251970460581,867.8565076039949,3264
data/5-05_spettrofotometro/vetrino1_spettrofotometro/ELAB/vetroAU-vetro_2_1.csv,6.199470822402136e-08,6.10522433959983e-11,0.47107187435586084,0.004109093341909207,408.59603063561644,3165
data/5-05_spettrofotometro/vetrino1_spettrofotometro/ELAB/vetroAU-vetro_3_1.csv,5.283682888670021e-08,2.359799980092667e-10,0.6057199327453434,0.019985365761944627,5026.5898443093565,3087
data/5-05_spettrofotometro/vetrino1_spettrofotometro/ELAB/vetroAU-vetro_1_1.csv,5.142140395211404e-08,2.1008281916616914e-09,0.3392288454241193,0.09857005266884274,29448.256621531687,1578
data/5-05_spettrofotometro/vetrino1_spettrofotometro/ELAB/vetroAU-vetro_4_1.csv,3.8840733962228145e-08,7.821522335082868e-11,0.41149217889171386,0.004849970216695532,717.4234731583695,3252
data/9_05_spettrofotometro/ELAB/gold_glass_trasm_6_cm_1.csv,2.9253047960140902e-08,8.107584749790222e-11,0.3924274585052584,0.005111366758048375,807.5212190239805,3297
data/9_05_spettrofotometro/ELAB/gold_glass_trasm_5_cm_1.csv,3.731423026456994e-08,7.676065973701087e-11,0.4078396726238211,0.004757976758979429,688.3925756896875,3291
data/9_05_spettrofotometro/ELAB/gold_glass_trasm_3_cm_1.csv,6.37520248461295e-08,7.049581037943937e-11,0.5721473720863698,0.005526041555428162,473.014534272573,3273
data/9_05_spettrofotometro/ELAB/gold_glass_trasm_4_cm_1.csv,4.4553203921133326e-08,6.862765894814234e-11,0.44935102722851056,0.0045387563836439306,523.176789448505,3297
data/12-05_spettrofotometro/ELAB/AU-Vetro_4-cm_IV_1.csv,1.792733797140475e-08,9.721288199625892e-11,0.19026520311668102,0.0025722288474027528,535.8289779927699,3303
data/12-05_spettrofotometro/ELAB/AU-Vetro_1-cm_IV_1.csv,7.656453106423012e-08,3.187292656716582e-10,1.3117105796013848,0.04728490784018755,3842.05575567339,3168
data/12-05_spettrofotometro/ELAB/AU-Vetro_6-cm_IV_1.csv,3.95307593889837e-08,4.5501830161496456e-11,0.4577928237465587,0.0031855188186871194,236.15024143287985,3261
data/12-05_spettrofotometro/ELAB/AU-Vetro_7-cm_IV_1.csv,3.229261240753513e-08,5.5334756900128576e-11,0.40447519654449937,0.003700209261441194,365.84481406192816,3297
data/12-05_spettrofotometro/ELAB/AU-Vetro_2-cm_IV_1.csv,6.338259296372203e-08,6.282551472518755e-11,0.6728636968582609,0.00561312239896448,335.92003104806486,3216
data/12-05_spettrofotometro/ELAB/AU-Vetro_5-cm_IV_1.csv,3.820501287926902e-08,4.4482428666698e-11,0.4365644835967329,0.003016802900747419,229.64671603064687,3267
